6.3928563432,-14.2893063742,1506365905.13421,Time,X,Y,,
5.3648460406,11.0791293334,1506365909.57919,0.0287339687,0.0329635246,0.4077045221,,
5.3641692061,11.052661101,1506365909.6004,0.0212180614,0.0006768344,0.0264682324,,
5.2022120318,10.4510393233,1506365909.62169,0.0212888718,0.1619571743,0.6016217777,,
5.0527969214,10.1559274424,1506365909.64049,0.0188009739,0.1494151104,0.2951118809,,
5.1320447578,10.0146856656,1506365909.66043,0.0199379921,0.0792478364,0.1412417768,,
5.1515767491,9.7712685943,1506365909.68053,0.0200951099,0.0195319913,0.2434170713,,
4.8738703919,9.8127104531,1506365909.70051,0.0199790001,0.2777063572,0.0414418588,,
4.1400982221,9.8042116244,1506365909.72298,0.0224709511,0.7337721698,0.0084988287,,
3.9880517568,9.922572731,1506365909.75172,0.0287411213,0.1520464653,0.1183611066,,
3.8381689008,10.1794732436,1506365909.77173,0.0200150013,0.149882856,0.2569005126,,
3.8372079028,10.3406051131,1506365909.79426,0.0225248337,0.000960998,0.1611318695,,
3.8077075758,10.3162621908,1506365909.81298,0.018723011,0.0295003271,0.0243429223,,
3.2441025202,10.9676817224,1506365909.83548,0.0225031376,0.5636050556,0.6514195315,,
2.960001202,11.294436784,1506365909.85423,0.0187468529,0.2841013182,0.3267550616,,
2.528354728,11.6906669173,1506365909.87427,0.0200359821,0.431646474,0.3962301333,,
2.3714984378,12.377180686,1506365909.89299,0.018723011,0.1568562902,0.6865137687,,
1.5937981257,13.9690178328,1506365909.91422,0.0212299824,0.7777003121,1.5918371468,,
1.3058728317,14.8977402148,1506365909.93423,0.0200061798,0.287925294,0.9287223821,,
1.1206433985,15.5956990278,1506365909.95538,0.02115798,0.1852294332,0.697958813,,
1.1671879367,16.4691918831,1506365909.97544,0.0200560093,0.0465445382,0.8734928553,,
1.0874045182,17.1421360793,1506365909.99544,0.0200028419,0.0797834185,0.6729441962,,
1.6960507143,17.2191557957,1506365910.01668,0.0212380886,0.6086461961,0.0770197163,,
1.7481170228,17.1157989498,1506365910.03545,0.0187690258,0.0520663085,0.1033568459,,
1.4219453694,16.955736134,1506365910.05544,0.0199930668,0.3261716534,0.1600628158,,
1.4762583834,16.3431832508,1506365910.07668,0.021239996,0.054313014,0.6125528832,,
1.6552725096,16.2409804017,1506365910.098,0.0213179588,0.1790141262,0.1022028491,,
1.9350954901,15.7058465348,1506365910.11669,0.0186870098,0.2798229805,0.535133867,,
1.6384594445,15.4249777968,1506365910.13669,0.020004034,0.2966360455,0.280868738,,
1.9512258394,14.6750031826,1506365910.15678,0.0200870037,0.3127663948,0.7499746141,,
2.3081576621,14.5971568766,1506365910.17669,0.0199108124,0.3569318227,0.077846306,,
2.286600947,14.5137165766,1506365910.19671,0.0200250149,0.0215567151,0.0834402999,,
2.1823688444,14.6112660947,1506365910.21795,0.0212330818,0.1042321026,0.0975495181,,
2.0800516577,14.3909565988,1506365910.23796,0.0200090408,0.1023171866,0.220309496,,
2.3103072395,14.3172971361,1506365910.2592,0.0212390423,0.2302555818,0.0736594626,,
2.3574879853,14.2059810794,1506365910.2792,0.0200009346,0.0471807458,0.1113160568,,
2.4090709586,13.9774767672,1506365910.29919,0.0199968815,0.0515829734,0.2285043122,,
2.4666341614,13.407804888,1506365910.3192,0.0200099945,0.0575632028,0.5696718792,,
2.7728976095,12.9754780847,1506365910.3392,0.0199930668,0.3062634481,0.4323268032,,
3.0561328068,12.6206172651,1506365910.3592,0.0199990273,0.2832351973,0.3548608196,,
3.009357175,12.1175432697,1506365910.38047,0.0212750435,0.0467756318,0.5030739953,,
3.8064368041,10.6764279333,1506365910.40043,0.0199570656,0.7970796291,1.4411153365,,
4.0898387228,9.8167198847,1506365910.4217,0.021271944,0.2834019186,0.8597080485,,
-49.2790718538,40.0482631602,1506365910.44044,0.0187389851,53.3689105766,30.2315432754,,
4.4807965097,8.3096304072,1506365910.46057,0.0201289654,53.7598683635,31.738632753,,
4.3501517345,7.0352148366,1506365910.48168,0.0211129189,0.1306447752,1.2744155706,,
4.1731619623,6.3958723294,1506365910.5017,0.0200161934,0.1769897722,0.6393425072,,
4.2022688204,5.9089920595,1506365910.5217,0.0200037956,0.0291068581,0.4868802699,,
4.4783814861,5.80617574,1506365910.5417,0.0199961662,0.2761126657,0.1028163196,,
3.8412451534,5.6810435524,1506365910.5617,0.0200018883,0.6371363327,0.1251321875,,
3.6083729359,5.8260585663,1506365910.58182,0.0201220512,0.2328722176,0.1450150138,,
3.5004264249,6.0800778194,1506365910.62293,0.0411100388,0.1079465109,0.2540192531,,
3.4785663069,6.1839730984,1506365910.64431,0.0213758945,0.0218601181,0.103895279,,
3.6582687095,6.4225315677,1506365910.66307,0.0187599659,0.1797024026,0.2385584693,,
2.971684942,6.5164773448,1506365910.68306,0.0199949741,0.6865837674,0.0939457771,,
3.0421855842,6.8675721023,1506365910.70305,0.0199902058,0.0705006421,0.3510947575,,
3.0910841701,7.1315543877,1506365910.72306,0.0200068951,0.0488985859,0.2639822854,,
2.8904657845,7.3096503682,1506365910.74418,0.0211179256,0.2006183856,0.1780959805,,
2.9129649555,7.2060230527,1506365910.76432,0.0201401711,0.022499171,0.1036273155,,
-51.3563374952,37.9668632058,1506365910.78432,0.0199999809,54.2693024506,30.7608401531,,
2.1801939614,7.0042335725,1506365910.80432,0.0199990273,53.5365314566,30.9626296332,,
2.4068649674,6.9444683987,1506365910.82431,0.0199990273,0.226671006,0.0597651738,,
-51.9522016662,37.4753145762,1506365910.84432,0.0200049877,54.3590666336,30.5308461775,,
2.2785159897,6.68647901,1506365910.86681,0.0224928856,54.2307176559,30.7888355661,,
3.2964929619,6.1167689353,1506365910.88556,0.018750906,1.0179769722,0.5697100748,,
3.7990170468,5.6463577638,1506365910.91669,0.0311231613,0.5025240849,0.4704111714,,
4.3435582528,4.9238044349,1506365910.93556,0.01887393,0.544541206,0.7225533289,,
4.1399222617,4.1675241139,1506365910.95681,0.021253109,0.2036359911,0.7562803211,,
4.8580732489,3.3179453095,1506365910.98683,0.0300178528,0.7181509872,0.8495788043,,
4.7938523722,2.8552437785,1506365911.00684,0.0200049877,0.0642208768,0.4627015311,,
4.8254498027,2.3631023312,1506365911.02806,0.0212249756,0.0315974306,0.4921414472,,
3.8776511893,2.1321638758,1506365911.04807,0.020004034,0.9477986134,0.2309384554,,
3.8202521886,2.1296182166,1506365911.0692,0.0211391449,0.0573990007,0.0025456592,,
3.5687933784,2.1593277079,1506365911.08807,0.0188658237,0.2514588102,0.0297094913,,
3.2913876821,2.3359461749,1506365911.11056,0.0224900246,0.2774056963,0.176618467,,
3.0804154477,2.9214066542,1506365911.13056,0.020001173,0.2109722344,0.5854604792,,
2.8496212988,3.2285811721,1506365911.14931,0.0187499523,0.2307941489,0.307174518,,
2.5723151763,3.7116883769,1506365911.17044,0.0211310387,0.2773061225,0.4831072048,,
2.2357355007,4.9889045374,1506365911.19931,0.02886796,0.3365796756,1.2772161605,,
1.2525335654,6.7678936563,1506365911.2318,0.0324859619,0.9832019353,1.7789891188,,
1.1678664741,7.7956780894,1506365911.25055,0.0187518597,0.0846670913,1.0277844331,,
0.7256427046,8.990252377,1506365911.27167,0.0211250782,0.4422237694,1.1945742876,,
0.8444127286,10.0903532922,1506365911.29055,0.0188729763,0.1187700239,1.1001009153,,
